,period_x,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName_x,generatorid,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,county,nameplate-capacity-mw,net-summer-capacity-mw,net-winter-capacity-mw,operating-year-month,unit,nameplate-capacity-mw-units,net-summer-capacity-mw-units,net-winter-capacity-mw-units,weather_zone,period_y,plantCode,plantName_y,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption-btu,generation,total-consumption-btu-units,generation-units,heatRate
0,2022-12,TX,Texas,industrial-non-chp,Industrial Non-CHP,6541,Formosa Plastics Corp,56708,CFB Power Plant,G2101,Natural Gas Steam Turbine,NG,Natural Gas,ST,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Calhoun,155,143.1,143.1,2012-05,,MW,MW,MW,COAST,2022,56708,CFB Power Plant,ALL,Total,TX,Texas,ALL,11176388,809548,MMBtu,megawatthours,13.80571380572863
1,2022-12,TX,Texas,industrial-non-chp,Industrial Non-CHP,6541,Formosa Plastics Corp,56708,CFB Power Plant,G2201,Natural Gas Steam Turbine,NG,Natural Gas,ST,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Calhoun,155,143.1,143.1,2012-03,,MW,MW,MW,COAST,2022,56708,CFB Power Plant,ALL,Total,TX,Texas,ALL,11176388,809548,MMBtu,megawatthours,13.80571380572863
2,2022-12,TX,Texas,industrial-chp,Industrial CHP,6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,BO3,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Calhoun,36.2,32,32,1987-03,CHP1,MW,MW,MW,COAST,2022,10554,Formosa Utility Venture Ltd,ALL,Total,TX,Texas,ALL,28467460,3260765.58,MMBtu,megawatthours,8.73029946544026
3,2022-12,TX,Texas,industrial-chp,Industrial CHP,6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,ST1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Calhoun,33.5,28.5,28.5,1994-03,CHP1,MW,MW,MW,COAST,2022,10554,Formosa Utility Venture Ltd,ALL,Total,TX,Texas,ALL,28467460,3260765.58,MMBtu,megawatthours,8.73029946544026
4,2022-12,TX,Texas,industrial-chp,Industrial CHP,6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,ST2,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Calhoun,66.3,58,58,1994-03,CHP1,MW,MW,MW,COAST,2022,10554,Formosa Utility Venture Ltd,ALL,Total,TX,Texas,ALL,28467460,3260765.58,MMBtu,megawatthours,8.73029946544026
5,2022-12,TX,Texas,industrial-chp,Industrial CHP,6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,ST3,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Calhoun,55,47.3,51.7,2002-08,CHP1,MW,MW,MW,COAST,2022,10554,Formosa Utility Venture Ltd,ALL,Total,TX,Texas,ALL,28467460,3260765.58,MMBtu,megawatthours,8.73029946544026
6,2022-12,TX,Texas,ipp-non-chp,IPP Non-CHP,61054,Fluvanna Wind Energy 2 LLC,61417,Gopher Creek Wind Farm,GCWF,Onshore Wind Turbine,WND,Wind,WT,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Borden,158,158,158,2019-09,,MW,MW,MW,FAR WEST,2022,61417,Gopher Creek Wind Farm,ALL,Total,TX,Texas,ALL,2048459,600369,MMBtu,megawatthours,3.411999953362016
7,2022-12,TX,Texas,ipp-non-chp,IPP Non-CHP,60042,Fluvanna Wind Energy LLC,59245,Fluvanna,FLUV1,Onshore Wind Turbine,WND,Wind,WT,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Scurry,155.4,155.4,155.4,2017-11,,MW,MW,MW,WEST,2022,59245,Fluvanna,ALL,Total,TX,Texas,ALL,2031124,595289,MMBtu,megawatthours,3.4119965260570915
8,2022-12,TX,Texas,ipp-non-chp,IPP Non-CHP,61037,"Foard City Wind, LLC",61402,Foard City Wind,FOARD,Onshore Wind Turbine,WND,Wind,WT,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Foard,352.8,350.3,350.3,2019-09,,MW,MW,MW,NORTH,2022,61402,Foard City Wind,ALL,Total,TX,Texas,ALL,3752961,1099930,MMBtu,megawatthours,3.4119998545361976
9,2022-12,TX,Texas,ipp-non-chp,IPP Non-CHP,62080,"Lamesa Solar II, L.L.C.",61697,Lamesa II,IVORY,Solar Photovoltaic,SUN,Solar,PV,ERCO,"Electric Reliability Council of Texas, Inc.",OP,Operating,Dawson,50,50,50,2018-11,,MW,MW,MW,FAR WEST,2022,61697,Lamesa II,ALL,Total,TX,Texas,ALL,369792,108380,MMBtu,megawatthours,3.4119948329950174
